step,chosen_arm,reward,ucb_s1_a0,ucb_s2_a0,ucb_s3_a0,binding_a0,ucb_s1_a1,ucb_s2_a1,ucb_s3_a1,binding_a1,ucb_s1_a2,ucb_s2_a2,ucb_s3_a2,binding_a2,ucb_s1_a3,ucb_s2_a3,ucb_s3_a3,binding_a3,ucb_s1_a4,ucb_s2_a4,ucb_s3_a4,binding_a4,ucb_s1_a5,ucb_s2_a5,ucb_s3_a5,binding_a5,ucb_s1_a6,ucb_s2_a6,ucb_s3_a6,binding_a6
29,6,0.0,0.69631,1.614745,1.884233,s1,0.761225,0.922117,1.709067,s1,0.906139,1.30407,1.917981,s1,0.854686,0.922117,1.829005,s1,0.898877,1.064769,1.762488,s1,0.942893,0.922117,1.788513,s2,0.94903,1.064769,1.885003,s1
30,4,0.0,0.834336,1.617701,1.888259,s1,1.003118,0.926551,1.713758,s2,0.881258,1.310341,1.923047,s1,1.176245,0.926551,1.833696,s2,0.982598,1.069889,1.767356,s1,1.01759,0.926551,1.793204,s2,0.98271,0.926551,1.792521,s2
31,0,1.0,1.620212,1.62055,1.892137,s1,1.161038,0.930824,1.718275,s2,1.186869,1.316384,1.927926,s1,0.984783,0.930824,1.838213,s2,1.167131,0.930824,1.683275,s2,1.176444,0.930824,1.797721,s2,0.9898,0.930824,1.797038,s2
32,0,1.0,1.363366,1.591313,1.873191,s1,1.246317,0.934948,1.72263,s2,1.034766,1.322215,1.93263,s1,1.185232,0.934948,1.842568,s2,1.007296,0.934948,1.68763,s2,0.999129,0.934948,1.802076,s2,1.011615,0.934948,1.801393,s2
33,1,0.0,0.897973,1.566196,1.855579,s1,0.969408,0.93893,1.726833,s2,0.756128,1.327848,1.93717,s1,1.02545,0.93893,1.846771,s2,0.820173,0.93893,1.691833,s1,0.86399,0.93893,1.806279,s1,0.8491,0.93893,1.805597,s1
34,2,0.0,0.793448,1.568519,1.858896,s1,0.9835,0.843249,1.649962,s2,1.115604,1.333294,1.941558,s1,1.027001,0.942782,1.850833,s2,1.019773,0.942782,1.695895,s2,1.040282,0.942782,1.810342,s2,1.083626,0.942782,1.809659,s2
35,3,1.0,0.717636,1.570767,1.862104,s1,0.86645,0.846584,1.653758,s2,0.73931,1.092935,1.839111,s1,1.052996,0.946509,1.854763,s2,0.829694,0.946509,1.699825,s1,0.90361,0.946509,1.814271,s1,0.987333,0.946509,1.813588,s2
36,0,1.0,1.070075,1.572944,1.86521,s1,0.917174,0.849814,1.657433,s2,0.984503,1.097105,1.843059,s1,0.761909,1.049814,1.702709,s1,0.920764,0.950121,1.703629,s1,0.854919,0.950121,1.818075,s1,0.864397,0.950121,1.817393,s1
37,3,0.0,0.808123,1.550574,1.848259,s1,0.958123,0.852946,1.660996,s2,1.00388,1.101149,1.846886,s1,1.027655,1.052946,1.706271,s1,0.973451,0.953623,1.707317,s2,1.204539,0.953623,1.821763,s2,0.9768,0.953623,1.82108,s2
38,0,1.0,1.127954,1.552537,1.851113,s1,1.053613,0.855986,1.664451,s2,0.951073,1.105073,1.850598,s1,1.16662,0.948072,1.655394,s2,0.993366,0.957022,1.710893,s2,1.034912,0.957022,1.82534,s2,0.915538,0.957022,1.824657,s1
39,0,0.0,1.479635,1.532691,1.835114,s1,1.19061,0.858939,1.667806,s2,1.146494,1.108885,1.854201,s2,1.217123,0.950767,1.658642,s2,1.105326,0.960323,1.714366,s2,1.116982,0.960323,1.828812,s2,1.084525,0.960323,1.828129,s2
40,5,0.0,0.500466,1.443601,1.748678,s1,0.711325,0.861809,1.671065,s1,0.802723,1.11259,1.857702,s1,0.670763,0.953387,1.661797,s1,0.721944,0.963532,1.717739,s1,0.820937,0.963532,1.832186,s1,0.608692,0.963532,1.831503,s1
41,0,1.0,1.465279,1.445269,1.751184,s2,1.105635,0.8646,1.674234,s2,1.146166,1.116194,1.861106,s2,1.05167,0.955935,1.664866,s2,1.119283,0.966653,1.721019,s2,1.119364,0.8646,1.748384,s2,1.059618,0.966653,1.834783,s2
42,2,0.0,0.861657,1.434079,1.741714,s1,0.933838,0.867318,1.677317,s2,1.01938,1.119702,1.864418,s1,1.226649,0.958416,1.667851,s2,1.093083,0.969691,1.724211,s2,0.985879,0.867318,1.751467,s2,0.976133,0.969691,1.837974,s2
43,0,1.0,0.975052,1.435607,1.744039,s1,0.940748,0.869964,1.680319,s2,1.052599,0.97265,1.773647,s2,0.932012,0.960832,1.670758,s1,0.903826,0.97265,1.727318,s1,0.92334,0.869964,1.754469,s2,0.77837,0.97265,1.841082,s1
44,4,0.0,0.735713,1.425267,1.734684,s1,0.913577,0.872544,1.683244,s2,0.856237,0.975534,1.776675,s1,1.139887,0.963186,1.673589,s2,0.97777,0.975534,1.730346,s2,0.952018,0.872544,1.757394,s2,0.913089,0.975534,1.844109,s1
45,3,0.0,0.777205,1.426673,1.736849,s1,0.761293,0.875059,1.686095,s1,0.868052,0.978346,1.779626,s1,0.8822,0.965483,1.67635,s1,0.942475,0.875059,1.653428,s2,0.794873,0.875059,1.760245,s1,0.749277,0.978346,1.84706,s1
46,3,0.0,0.779451,1.428045,1.738962,s1,0.851251,0.877513,1.688876,s1,0.624757,0.98109,1.782504,s1,0.99263,0.884491,1.623875,s2,0.775649,0.877513,1.656209,s1,0.769711,0.877513,1.763026,s1,0.739531,0.98109,1.849939,s1
47,0,1.0,1.048371,1.429384,1.741023,s1,1.112281,0.879909,1.69159,s2,0.922026,0.983768,1.785314,s1,0.972288,0.820629,1.573197,s2,1.092054,0.879909,1.658923,s2,1.179602,0.879909,1.76574,s2,0.992781,0.983768,1.852748,s2
48,0,0.0,1.399492,1.419643,1.731654,s1,1.08084,0.882249,1.69424,s2,1.052142,0.986385,1.788057,s2,1.005591,0.822479,1.575616,s2,1.124643,0.882249,1.661574,s2,1.121729,0.882249,1.76839,s2,1.108556,0.986385,1.855491,s2
49,6,0.0,0.789588,1.35508,1.667018,s1,0.96637,0.884536,1.696829,s2,0.981085,0.988942,1.790737,s1,1.007969,0.824287,1.577979,s2,0.87468,0.884536,1.664163,s1,1.001255,0.884536,1.770979,s2,1.023022,0.988942,1.858171,s2
50,2,0.0,0.970473,1.356259,1.66887,s1,1.144384,0.886772,1.69936,s2,1.130555,0.991442,1.793357,s2,1.059002,0.826055,1.58029,s2,1.034187,0.886772,1.666693,s2,1.206594,0.886772,1.77351,s2,0.968195,0.886772,1.772873,s2
51,0,0.0,1.429765,1.357412,1.670682,s2,1.153337,0.888959,1.701835,s2,1.068797,0.888959,1.712409,s2,1.096356,0.827784,1.582549,s2,1.112613,0.888959,1.669168,s2,1.172394,0.888959,1.775985,s2,1.071303,0.888959,1.775347,s2
52,1,0.0,0.588583,1.29923,1.612042,s1,0.984446,0.8911,1.704256,s2,0.992134,0.8911,1.71483,s2,0.886879,0.829476,1.584759,s2,0.998914,0.8911,1.671589,s2,1.113826,0.8911,1.778406,s2,0.979153,0.8911,1.777769,s2
53,5,0.0,0.767943,1.300304,1.613746,s1,0.661795,0.815371,1.63295,s1,0.695677,0.893195,1.7172,s1,0.916877,0.831132,1.586922,s2,0.792026,0.893195,1.673959,s1,0.8745,0.893195,1.780776,s1,0.763375,0.893195,1.780138,s1
54,0,1.0,0.984798,1.301357,1.615415,s1,0.869203,0.817245,1.635196,s2,0.76285,0.895247,1.71952,s1,1.003114,0.832755,1.589041,s2,0.754319,0.895247,1.67628,s1,0.971584,0.817245,1.704712,s2,0.842794,0.895247,1.782459,s1
55,0,1.0,0.985328,1.298629,1.611919,s1,1.001917,0.81908,1.637397,s2,0.884932,0.897257,1.721793,s1,1.113288,0.834344,1.591115,s2,0.748986,0.897257,1.678553,s1,0.942075,0.81908,1.706913,s2,0.930245,0.897257,1.784732,s2
56,0,1.0,1.198395,1.295921,1.608222,s1,1.022965,0.820879,1.639554,s2,0.866746,0.899228,1.72402,s1,1.106503,0.835902,1.593149,s2,1.009239,0.899228,1.68078,s2,1.033652,0.820879,1.709069,s2,0.904716,0.899228,1.786959,s2
57,0,1.0,1.045527,1.293247,1.604381,s1,1.051584,0.822642,1.641668,s2,0.850731,0.90116,1.726204,s1,0.960676,0.837429,1.595142,s2,0.972326,0.90116,1.682963,s2,1.049908,0.822642,1.711183,s2,0.951427,0.90116,1.789142,s2
58,2,0.0,0.813468,1.290617,1.600444,s1,0.907964,0.824372,1.643741,s2,1.109983,0.903055,1.728345,s2,1.022855,0.838927,1.597097,s2,0.810205,0.903055,1.685104,s1,0.881021,0.824372,1.713257,s2,1.003477,0.903055,1.791284,s2
59,0,1.0,1.295276,1.291483,1.60186,s2,0.9813,0.826069,1.645775,s2,0.914157,0.826069,1.655688,s2,0.962339,0.840397,1.599014,s2,0.92869,0.904914,1.687205,s2,0.940719,0.826069,1.71529,s2,1.061249,0.904914,1.793384,s2
60,0,0.0,1.245565,1.288868,1.597815,s1,0.974924,0.827735,1.647771,s2,0.97049,0.827735,1.657684,s2,1.01057,0.84184,1.600896,s2,1.017335,0.906739,1.689266,s2,1.02061,0.827735,1.717286,s2,0.983045,0.906739,1.795445,s2
61,0,1.0,1.173802,1.246307,1.553738,s1,0.959682,0.829371,1.64973,s2,0.655306,0.829371,1.659643,s1,1.089442,0.843256,1.602743,s2,0.86112,0.90853,1.69129,s1,0.869973,0.829371,1.719245,s2,0.910343,0.90853,1.797469,s2
62,0,1.0,1.33533,1.245342,1.551192,s2,1.216404,0.830977,1.651653,s2,0.979788,0.830977,1.661566,s2,1.22315,0.844647,1.604556,s2,1.065955,0.910289,1.693276,s2,1.109372,0.830977,1.721169,s2,1.028552,0.910289,1.799455,s2
63,0,0.0,1.442021,1.244322,1.54854,s2,1.126606,0.832555,1.653543,s2,1.121385,0.832555,1.663456,s2,1.018877,0.846013,1.606338,s2,1.130978,0.912018,1.695228,s2,1.189138,0.832555,1.723058,s2,1.057017,0.912018,1.801407,s2
64,6,0.0,0.619658,1.207544,1.510093,s1,0.888256,0.834105,1.655399,s2,0.85715,0.834105,1.665312,s2,1.048593,0.847356,1.608088,s2,0.872182,0.913716,1.697145,s1,0.858246,0.834105,1.724915,s2,0.968725,0.913716,1.803324,s2
65,4,0.0,0.861025,1.20825,1.511277,s1,0.803521,0.835629,1.657224,s1,0.945512,0.835629,1.667137,s2,0.845213,0.848676,1.609808,s1,0.939751,0.915386,1.699029,s2,0.745008,0.835629,1.726739,s1,0.805453,0.835629,1.726142,s1
66,2,0.0,0.6014,1.208943,1.512441,s1,0.737998,0.837127,1.659017,s1,0.977867,0.837127,1.66893,s2,0.782584,0.849974,1.611499,s1,0.964935,0.837127,1.628392,s2,1.002036,0.837127,1.728533,s2,0.822914,0.837127,1.727935,s1
67,0,0.0,1.283804,1.209625,1.513585,s2,1.158509,0.838601,1.660781,s2,0.960466,0.776393,1.603316,s2,1.162886,0.85125,1.613162,s2,0.911573,0.838601,1.630156,s2,1.064858,0.838601,1.730297,s2,0.974207,0.838601,1.729699,s2
68,3,0.0,0.655454,1.175208,1.47744,s1,0.852397,0.84005,1.662516,s2,0.832205,0.777735,1.604999,s2,0.975537,0.852505,1.614798,s2,0.77098,0.84005,1.631891,s1,0.750247,0.84005,1.732031,s1,0.899975,0.84005,1.731434,s2
69,0,1.0,0.873019,1.175856,1.478533,s1,1.058682,0.841476,1.664222,s2,0.925883,0.779056,1.606654,s2,1.122973,0.798174,1.564834,s2,1.036292,0.841476,1.633597,s2,1.162514,0.841476,1.733738,s2,0.999436,0.841476,1.73314,s2
70,0,1.0,1.078999,1.176947,1.477869,s1,1.127855,0.84288,1.665902,s2,0.902357,0.780355,1.608283,s2,1.109321,0.79932,1.566375,s2,0.983885,0.84288,1.635277,s2,1.113343,0.84288,1.735417,s2,1.151793,0.84288,1.73482,s2
71,4,0.0,0.546549,1.177877,1.477036,s1,0.780055,0.844262,1.667555,s1,0.787135,0.781634,1.609887,s2,1.077451,0.800448,1.567892,s2,0.990457,0.844262,1.63693,s2,0.991975,0.844262,1.73707,s2,0.922682,0.844262,1.736473,s2
72,1,0.0,0.820749,1.178476,1.478053,s1,1.019711,0.845622,1.669182,s2,0.987585,0.782894,1.611466,s2,1.048488,0.801559,1.569386,s2,0.975583,0.782894,1.573313,s2,1.013039,0.845622,1.738698,s2,0.871337,0.845622,1.7381,s2
73,0,1.0,1.222365,1.179065,1.479054,s2,1.100908,0.784134,1.603691,s2,0.961812,0.784134,1.613021,s2,1.203771,0.802652,1.570856,s2,0.939397,0.784134,1.574867,s2,0.992939,0.846962,1.7403,s2,1.068317,0.846962,1.739703,s2
74,0,1.0,0.997862,1.179817,1.478021,s1,0.93078,0.785356,1.605222,s2,0.958035,0.785356,1.614552,s2,0.766351,0.80373,1.572305,s1,1.004982,0.785356,1.576399,s2,1.05205,0.848281,1.741879,s2,0.82621,0.848281,1.741281,s1
75,0,1.0,1.000717,1.180445,1.476867,s1,1.038292,0.78656,1.606731,s2,0.923692,0.78656,1.61606,s2,0.951264,0.804792,1.573732,s2,0.915345,0.78656,1.577907,s2,0.976335,0.849582,1.743434,s2,0.995341,0.849582,1.742836,s2
76,5,0.0,0.564547,1.180963,1.47561,s1,0.892796,0.787746,1.608217,s2,0.868929,0.787746,1.617547,s2,1.107501,0.805838,1.575138,s2,0.912049,0.787746,1.579393,s2,1.049502,0.850863,1.744966,s2,0.972049,0.850863,1.744368,s2
77,0,1.0,1.074983,1.181494,1.476521,s1,0.87955,0.788915,1.609682,s2,0.949348,0.788915,1.619012,s2,0.939148,0.806869,1.576523,s2,0.883077,0.788915,1.580858,s2,0.805862,0.788915,1.675108,s2,0.925822,0.852126,1.745878,s2
78,3,0.0,0.493219,1.1819,1.475154,s1,0.754649,0.790068,1.611126,s1,0.594964,0.790068,1.620456,s1,1.020175,0.807885,1.577889,s2,0.602836,0.790068,1.582302,s1,0.738746,0.790068,1.676552,s1,0.671326,0.853371,1.747367,s1
79,0,1.0,1.111658,1.182409,1.476029,s1,1.055801,0.791204,1.61255,s2,0.951037,0.791204,1.62188,s2,0.931364,0.761969,1.530421,s2,1.107712,0.791204,1.583726,s2,1.173143,0.791204,1.677976,s2,0.967256,0.854598,1.748834,s2
80,0,1.0,1.183131,1.182716,1.474569,s2,0.776104,0.792325,1.613954,s1,0.772232,0.792325,1.623283,s1,0.934712,0.762906,1.531715,s2,0.759124,0.792325,1.58513,s1,0.776158,0.792325,1.67938,s1,0.74315,0.855809,1.750281,s1
81,0,0.0,1.471377,1.182947,1.473047,s2,1.075475,0.79343,1.615338,s2,1.024242,0.79343,1.624668,s2,1.041391,0.763831,1.532992,s2,1.051942,0.79343,1.586515,s2,0.987774,0.79343,1.680765,s2,0.939353,0.857002,1.751709,s2
82,6,0.0,0.229109,1.156796,1.44516,s1,0.76293,0.794521,1.616704,s1,0.817475,0.794521,1.626034,s2,1.118221,0.764744,1.534251,s2,0.704879,0.794521,1.587881,s1,0.913874,0.794521,1.68213,s2,0.956932,0.85818,1.753117,s2
83,0,1.0,1.073429,1.157258,1.445962,s1,1.016682,0.795597,1.618052,s2,0.991589,0.795597,1.627382,s2,1.022885,0.765644,1.535493,s2,1.00812,0.795597,1.589228,s2,1.069139,0.795597,1.683478,s2,0.941256,0.795597,1.682916,s2
84,0,1.0,1.042052,1.158025,1.445005,s1,0.741829,0.796658,1.619381,s1,0.556484,0.796658,1.628711,s1,0.962304,0.766532,1.536719,s2,0.709705,0.796658,1.590558,s1,0.748157,0.796658,1.684808,s1,0.72603,0.796658,1.684245,s1
85,2,0.0,0.750068,1.158704,1.443981,s1,0.711988,0.797706,1.620694,s1,0.833297,0.797706,1.630024,s2,1.028114,0.767409,1.537929,s2,0.661843,0.797706,1.59187,s1,0.821383,0.797706,1.68612,s2,0.716976,0.797706,1.685558,s1
86,0,1.0,1.27584,1.159137,1.444737,s2,0.918142,0.798741,1.621989,s2,0.662088,0.747154,1.569792,s1,0.725709,0.768275,1.539124,s1,0.870148,0.798741,1.593166,s2,0.850501,0.798741,1.687416,s2,0.628635,0.798741,1.686853,s1
87,1,0.0,0.584731,1.159728,1.443638,s1,0.863981,0.799762,1.623268,s2,0.815941,0.748109,1.571035,s2,0.98689,0.769129,1.540303,s2,0.846129,0.799762,1.594445,s2,0.935386,0.799762,1.688695,s2,0.932102,0.799762,1.688132,s2
88,4,0.0,0.798751,1.160144,1.444367,s1,0.847588,0.749052,1.56345,s2,0.94815,0.749052,1.572262,s2,0.745279,0.769973,1.541467,s1,0.850719,0.800771,1.595707,s2,0.883399,0.800771,1.689957,s2,0.850619,0.800771,1.689395,s2
89,0,1.0,1.569112,1.160556,1.445087,s2,1.252751,0.749984,1.564662,s2,0.991695,0.749984,1.573474,s2,1.186721,0.770806,1.542617,s2,1.139364,0.749984,1.53744,s2,1.096749,0.801767,1.691204,s2,1.025767,0.801767,1.690642,s2
90,6,0.0,0.350774,1.161055,1.443906,s1,0.677536,0.750904,1.565859,s1,0.635434,0.750904,1.574671,s1,0.846244,0.771629,1.543752,s2,0.719967,0.750904,1.538637,s1,0.667946,0.802751,1.692436,s1,0.847872,0.802751,1.691874,s2
91,0,1.0,1.374761,1.161452,1.444601,s2,1.179012,0.751814,1.567042,s2,0.961434,0.751814,1.575853,s2,1.158067,0.772442,1.544874,s2,1.142783,0.751814,1.539819,s2,1.254124,0.803722,1.693653,s2,0.981143,0.751814,1.628302,s2
92,0,0.0,1.157445,1.161877,1.443364,s1,0.964774,0.752712,1.56821,s2,0.857189,0.752712,1.577021,s2,1.028846,0.773246,1.545982,s2,0.820347,0.752712,1.540988,s2,0.955048,0.804683,1.694855,s2,0.828456,0.752712,1.62947,s2
93,0,0.0,0.850314,1.139518,1.419364,s1,0.815069,0.753599,1.569364,s2,0.683055,0.753599,1.578176,s1,1.04351,0.77404,1.547077,s2,0.690885,0.753599,1.542142,s1,0.710689,0.805631,1.696042,s1,0.740454,0.753599,1.630624,s1
94,0,1.0,1.462543,1.118115,1.396345,s2,1.134061,0.754476,1.570505,s2,0.915499,0.754476,1.579316,s2,1.235941,0.774824,1.548159,s2,1.086496,0.754476,1.543282,s2,1.089133,0.806569,1.697216,s2,0.970693,0.754476,1.631765,s2
95,0,1.0,1.024525,1.119348,1.395983,s1,0.865249,0.755343,1.571632,s2,0.77835,0.755343,1.580443,s2,0.960164,0.7756,1.549229,s2,0.820097,0.755343,1.54441,s2,0.931573,0.807496,1.698376,s2,0.770436,0.755343,1.632892,s2
96,3,0.0,0.609443,1.120495,1.395559,s1,0.726456,0.7562,1.572746,s1,0.73442,0.7562,1.581558,s1,0.815972,0.776366,1.550286,s2,0.873421,0.7562,1.545524,s2,0.711649,0.808412,1.699523,s1,0.737542,0.7562,1.634007,s1
97,0,1.0,1.214739,1.120845,1.396178,s2,1.018945,0.757048,1.573848,s2,0.964416,0.757048,1.582659,s2,0.778963,0.736521,1.50512,s2,0.984789,0.757048,1.546626,s2,0.977079,0.809318,1.700656,s2,0.900067,0.757048,1.635108,s2
98,0,1.0,1.458436,1.121905,1.395686,s2,1.063831,0.757885,1.574937,s2,0.789121,0.757885,1.583749,s2,0.924258,0.737236,1.506129,s2,0.909951,0.757885,1.547715,s2,0.981762,0.810213,1.701777,s2,0.698545,0.757885,1.636197,s1
99,5,0.0,0.759862,1.122893,1.395144,s1,0.755459,0.758714,1.576014,s1,0.73103,0.758714,1.584826,s1,0.798419,0.737942,1.507126,s2,0.693766,0.758714,1.548792,s1,0.799493,0.811099,1.702885,s1,0.733707,0.758714,1.637274,s1
