step,chosen_arm,reward,ucb_s1_a0,ucb_s2_a0,ucb_s3_a0,binding_a0,ucb_s1_a1,ucb_s2_a1,ucb_s3_a1,binding_a1,ucb_s1_a2,ucb_s2_a2,ucb_s3_a2,binding_a2,ucb_s1_a3,ucb_s2_a3,ucb_s3_a3,binding_a3,ucb_s1_a4,ucb_s2_a4,ucb_s3_a4,binding_a4,ucb_s1_a5,ucb_s2_a5,ucb_s3_a5,binding_a5,ucb_s1_a6,ucb_s2_a6,ucb_s3_a6,binding_a6
32,0,1.0,1.204455,1.401076,1.673652,s1,0.959351,0.836242,1.641976,s2,0.988819,0.934948,1.733959,s2,1.00418,0.934948,1.842568,s2,1.008588,1.322215,1.878579,s1,1.014717,0.934948,1.802076,s2,1.069137,0.934948,1.801393,s2
33,0,1.0,1.173531,1.393832,1.676708,s1,1.121312,0.839805,1.646037,s2,0.998441,0.93893,1.738162,s2,1.07016,0.93893,1.846771,s2,1.026445,1.327848,1.88312,s1,1.193988,0.93893,1.806279,s2,1.042076,0.93893,1.805597,s2
34,0,0.0,1.168348,1.3867,1.677077,s1,0.936265,0.843249,1.649962,s2,0.81184,0.942782,1.742224,s1,1.084356,0.942782,1.850833,s2,1.013497,1.333294,1.887507,s1,0.979117,0.942782,1.810342,s2,1.028795,0.942782,1.809659,s2
35,0,0.0,1.06685,1.296467,1.592283,s1,0.897972,0.846584,1.653758,s2,0.773876,0.946509,1.746154,s1,0.991537,0.946509,1.854763,s2,0.978211,1.338566,1.891751,s1,0.988201,0.946509,1.814271,s2,0.929951,0.946509,1.813588,s1
36,5,0.0,0.717657,1.21934,1.519045,s1,0.819576,0.849814,1.657433,s1,0.68784,0.950121,1.749958,s1,0.819873,0.950121,1.858567,s1,0.872369,1.343674,1.895861,s1,0.934029,0.950121,1.818075,s1,0.728073,0.950121,1.817393,s1
37,0,1.0,1.160803,1.221282,1.521922,s1,0.962637,0.852946,1.660996,s2,0.908156,0.953623,1.753646,s1,1.049616,0.953623,1.862255,s2,0.86027,1.348626,1.899844,s1,0.873944,0.852946,1.735146,s2,1.009198,0.953623,1.82108,s2
38,0,1.0,0.966372,1.225835,1.529164,s1,0.795873,0.855986,1.664451,s1,0.829396,0.957022,1.757222,s1,0.890863,0.957022,1.865832,s1,0.851461,1.353433,1.903707,s1,0.776122,0.855986,1.738601,s1,0.720541,0.957022,1.824657,s1
39,0,0.0,1.049052,1.229242,1.534346,s1,0.792988,0.858939,1.667806,s1,0.880586,0.960323,1.760695,s1,0.86229,0.960323,1.869304,s1,0.886025,1.358102,1.907458,s1,0.928997,0.858939,1.741956,s2,0.954505,0.960323,1.828129,s1
40,4,0.0,0.909376,1.169266,1.475433,s1,0.979514,0.861809,1.671065,s2,0.867977,0.963532,1.764068,s1,1.021824,0.963532,1.872678,s2,1.068003,1.362639,1.911101,s1,1.05857,0.861809,1.745215,s2,1.003135,0.963532,1.831503,s2
41,4,0.0,0.866793,1.170826,1.47784,s1,0.951593,0.8646,1.674234,s2,0.893625,0.966653,1.767349,s1,0.896183,0.966653,1.875958,s1,1.059994,1.116194,1.811213,s1,0.950817,0.8646,1.748384,s2,0.815136,0.966653,1.834783,s1
42,0,1.0,1.150398,1.172345,1.480182,s1,0.809709,0.867318,1.677317,s1,0.869954,0.969691,1.77054,s1,0.842301,0.969691,1.879149,s1,0.808747,0.969691,1.724211,s1,0.977983,0.867318,1.751467,s2,0.942313,0.969691,1.837974,s1
43,0,1.0,1.130059,1.177687,1.485984,s1,1.076883,0.869964,1.680319,s2,1.056635,0.97265,1.773647,s2,1.105667,0.97265,1.882256,s2,1.076665,0.97265,1.727318,s2,1.180455,0.869964,1.754469,s2,1.008382,0.97265,1.841082,s2
44,0,1.0,1.056151,1.182093,1.490408,s1,0.881992,0.872544,1.683244,s2,0.907332,0.975534,1.776675,s1,0.948052,0.975534,1.885284,s1,0.781084,0.975534,1.730346,s1,0.882681,0.872544,1.757394,s2,0.955975,0.975534,1.844109,s1
45,0,1.0,1.111503,1.185738,1.493717,s1,0.995727,0.875059,1.686095,s2,0.86261,0.978346,1.779626,s1,0.96949,0.978346,1.888235,s1,0.909769,0.978346,1.733297,s1,1.050924,0.875059,1.760245,s2,0.938362,0.978346,1.84706,s1
46,6,0.0,0.320763,1.188757,1.49612,s1,0.763791,0.877513,1.688876,s1,0.825681,0.98109,1.782504,s1,0.686288,0.98109,1.891113,s1,0.892954,0.98109,1.736175,s1,0.901345,0.877513,1.763026,s2,0.943903,0.98109,1.849939,s1
47,0,1.0,1.406738,1.189955,1.498039,s2,1.07337,0.879909,1.69159,s2,0.855314,0.983768,1.785314,s1,1.09123,0.983768,1.893923,s2,0.908705,0.983768,1.738985,s1,0.97255,0.879909,1.76574,s2,0.910874,0.879909,1.765103,s2
48,0,0.0,1.268838,1.192398,1.499624,s2,1.058886,0.882249,1.69424,s2,1.075297,0.986385,1.788057,s2,0.989752,0.986385,1.896666,s2,1.127686,0.986385,1.741728,s2,1.086937,0.882249,1.76839,s2,0.961592,0.882249,1.767753,s2
49,3,0.0,0.710307,1.148959,1.455146,s1,1.048013,0.884536,1.696829,s2,0.880442,0.988942,1.790737,s1,1.011667,0.988942,1.899346,s2,0.998238,0.988942,1.744408,s2,1.10028,0.884536,1.770979,s2,1.002166,0.884536,1.770342,s2
50,2,0.0,0.925012,1.150025,1.456878,s1,0.946776,0.886772,1.69936,s2,1.122062,0.991442,1.793357,s2,0.979088,0.886772,1.811302,s2,1.00424,0.991442,1.747027,s2,1.001919,0.886772,1.77351,s2,1.094325,0.886772,1.772873,s2
51,0,0.0,1.125022,1.151067,1.458573,s1,0.869829,0.888959,1.701835,s1,1.024439,0.888959,1.712409,s2,0.907225,0.888959,1.813777,s2,0.893543,0.993887,1.749589,s1,1.063517,0.888959,1.775985,s2,0.970345,0.888959,1.775347,s2
52,4,0.0,0.511472,1.111129,1.417419,s1,0.917618,0.8911,1.704256,s2,1.002088,0.8911,1.71483,s2,0.864123,0.8911,1.816198,s1,0.962237,0.99628,1.752095,s1,1.167738,0.8911,1.778406,s2,1.003888,0.8911,1.777769,s2
53,0,0.0,1.344142,1.112106,1.419017,s2,1.041715,0.893195,1.706626,s2,0.788019,0.893195,1.7172,s1,1.173986,0.893195,1.818568,s2,0.896001,0.893195,1.673959,s2,0.941708,0.893195,1.780776,s2,0.975365,0.893195,1.780138,s2
54,3,0.0,0.516376,1.075289,1.380855,s1,0.880607,0.895247,1.708946,s1,0.77496,0.895247,1.71952,s1,0.905008,0.895247,1.820889,s2,0.884927,0.895247,1.67628,s1,1.021667,0.895247,1.783096,s2,1.034247,0.895247,1.782459,s2
55,2,0.0,0.701859,1.076207,1.382365,s1,0.85834,0.897257,1.711219,s1,0.976203,0.897257,1.721793,s2,0.797096,0.81908,1.742343,s1,0.87522,0.897257,1.678553,s1,1.108925,0.897257,1.785369,s2,1.088224,0.897257,1.784732,s2
56,1,0.0,0.699144,1.077106,1.383845,s1,0.972573,0.899228,1.713446,s2,0.972925,0.820879,1.649467,s2,0.897177,0.820879,1.7445,s2,0.929977,0.899228,1.68078,s2,1.083255,0.899228,1.787596,s2,0.96578,0.899228,1.786959,s2
57,5,0.0,0.369415,1.077988,1.385295,s1,0.809141,0.822642,1.641668,s1,0.853734,0.822642,1.651581,s2,0.754519,0.822642,1.746614,s1,0.762341,0.90116,1.682963,s1,0.884825,0.90116,1.78978,s1,0.793501,0.90116,1.789142,s1
58,4,0.0,0.514157,1.078853,1.386717,s1,0.916923,0.824372,1.643741,s2,0.790397,0.824372,1.653654,s1,0.929302,0.824372,1.748687,s2,0.986256,0.903055,1.685104,s2,0.995296,0.824372,1.713257,s2,0.787511,0.903055,1.791284,s1
59,0,1.0,0.965172,1.079701,1.388112,s1,1.035331,0.826069,1.645775,s2,0.776626,0.826069,1.655688,s1,0.9817,0.826069,1.750721,s2,0.90076,0.826069,1.61515,s2,0.955477,0.826069,1.71529,s2,0.8176,0.904914,1.793384,s1
60,0,0.0,1.014881,1.085506,1.392414,s1,1.09116,0.827735,1.647771,s2,0.904188,0.827735,1.657684,s2,1.069955,0.827735,1.752717,s2,0.937529,0.827735,1.617146,s2,1.129506,0.827735,1.717286,s2,1.136751,0.906739,1.795445,s2
61,0,1.0,1.086064,1.052263,1.357602,s2,0.522534,0.829371,1.64973,s1,0.837535,0.829371,1.659643,s2,0.634505,0.829371,1.754676,s1,0.676386,0.829371,1.619105,s1,0.857577,0.829371,1.719245,s2,0.649261,0.90853,1.797469,s1
62,6,0.0,0.903612,1.058393,1.362112,s1,0.994864,0.830977,1.651653,s2,0.930601,0.830977,1.661566,s2,0.88389,0.830977,1.756599,s2,1.028546,0.830977,1.621028,s2,1.09315,0.830977,1.721169,s2,0.986878,0.910289,1.799455,s2
63,2,0.0,0.767124,1.059137,1.363354,s1,0.721658,0.832555,1.653543,s1,0.91124,0.832555,1.663456,s2,0.779557,0.832555,1.758489,s1,0.805634,0.832555,1.622918,s1,0.825262,0.832555,1.723058,s1,0.725344,0.832555,1.722461,s1
64,0,1.0,1.100815,1.059868,1.364575,s2,0.935771,0.834105,1.655399,s2,1.088854,0.772231,1.598094,s2,1.078803,0.834105,1.760345,s2,0.875693,0.834105,1.624774,s2,1.022563,0.834105,1.724915,s2,1.081129,0.834105,1.724317,s2
65,0,1.0,1.231131,1.065392,1.36842,s2,1.080663,0.835629,1.657224,s2,0.975944,0.773642,1.599865,s2,1.102189,0.835629,1.76217,s2,0.867212,0.835629,1.626599,s2,1.181801,0.835629,1.726739,s2,0.978399,0.835629,1.726142,s2
66,4,0.0,0.379382,1.07043,1.371751,s1,0.673305,0.837127,1.659017,s1,0.831859,0.775029,1.601605,s2,0.775596,0.837127,1.763963,s1,0.860398,0.837127,1.628392,s2,0.923545,0.837127,1.728533,s2,0.943978,0.837127,1.727935,s2
67,0,0.0,1.079285,1.0711,1.37288,s2,0.71796,0.838601,1.660781,s1,0.97399,0.776393,1.603316,s2,0.739707,0.838601,1.765727,s1,0.848902,0.776393,1.565162,s2,1.022736,0.838601,1.730297,s2,0.934303,0.838601,1.729699,s2
68,5,0.0,0.733207,1.042349,1.342395,s1,0.801032,0.84005,1.662516,s1,0.670158,0.777735,1.604999,s1,0.704532,0.84005,1.767462,s1,0.673351,0.777735,1.566845,s1,0.825603,0.84005,1.732031,s1,0.632373,0.84005,1.731434,s1
69,1,0.0,0.768527,1.042986,1.343474,s1,0.915129,0.841476,1.664222,s2,0.708661,0.779056,1.606654,s1,0.797909,0.841476,1.769168,s1,0.805813,0.779056,1.568501,s2,1.055093,0.779056,1.662751,s2,0.744027,0.841476,1.73314,s1
70,0,1.0,1.155407,1.043614,1.344536,s2,0.805406,0.780355,1.598954,s2,1.067331,0.780355,1.608283,s2,0.941216,0.84288,1.770848,s2,0.893924,0.780355,1.57013,s2,0.919285,0.780355,1.66438,s2,0.964788,0.84288,1.73482,s2
71,0,1.0,1.318618,1.048845,1.348004,s2,0.999592,0.781634,1.600557,s2,0.901283,0.781634,1.609887,s2,0.98283,0.844262,1.772501,s2,0.891481,0.781634,1.571734,s2,1.072207,0.781634,1.665984,s2,0.860224,0.844262,1.736473,s2
72,0,1.0,1.124802,1.053665,1.351057,s2,0.932435,0.782894,1.602136,s2,0.899721,0.782894,1.611466,s2,0.80782,0.845622,1.774128,s1,0.994985,0.782894,1.573313,s2,1.085397,0.782894,1.667562,s2,0.927804,0.845622,1.7381,s2
73,1,0.0,0.741948,1.058115,1.353744,s1,0.802488,0.784134,1.603691,s2,0.80997,0.784134,1.613021,s2,0.676289,0.846962,1.775731,s1,0.763767,0.784134,1.574867,s1,0.85684,0.784134,1.669117,s2,0.764014,0.846962,1.739703,s1
74,3,0.0,0.377978,1.058678,1.354706,s1,0.891434,0.734633,1.544685,s2,0.796893,0.785356,1.614552,s2,0.848848,0.848281,1.777309,s2,0.865274,0.785356,1.576399,s2,0.822737,0.785356,1.670648,s2,0.998415,0.848281,1.741281,s2
75,0,1.0,1.033769,1.059233,1.355655,s1,0.967608,0.735759,1.546151,s2,1.05561,0.78656,1.61606,s2,0.984778,0.78656,1.705503,s2,0.967402,0.78656,1.577907,s2,1.047384,0.78656,1.672157,s2,1.149949,0.849582,1.742836,s2
76,6,0.0,0.61522,1.063316,1.357963,s1,0.998863,0.736869,1.547596,s2,0.873175,0.787746,1.617547,s2,1.04116,0.787746,1.70699,s2,0.848063,0.787746,1.579393,s2,1.185009,0.787746,1.673643,s2,1.140307,0.850863,1.744368,s2
77,2,0.0,0.604082,1.063847,1.358874,s1,0.654143,0.737962,1.54902,s1,0.887609,0.788915,1.619012,s2,0.747286,0.788915,1.708455,s1,0.723444,0.788915,1.580858,s1,0.744762,0.788915,1.675108,s1,0.916262,0.788915,1.674546,s2
78,0,1.0,1.069958,1.06437,1.359772,s2,1.067319,0.739041,1.550423,s2,0.986067,0.739041,1.559235,s2,1.102098,0.790068,1.709899,s2,0.918718,0.790068,1.582302,s2,1.062937,0.790068,1.676552,s2,1.124174,0.790068,1.67599,s2
79,0,1.0,0.949232,1.068123,1.361744,s1,0.939293,0.740104,1.551807,s2,0.859518,0.740104,1.560618,s2,1.091176,0.791204,1.711322,s2,0.804493,0.791204,1.583726,s2,0.984667,0.791204,1.677976,s2,0.927474,0.791204,1.677414,s2
80,0,1.0,0.963086,1.071605,1.363457,s1,0.858618,0.741152,1.553171,s2,0.943837,0.741152,1.561983,s2,0.982131,0.792325,1.712726,s2,0.874239,0.792325,1.58513,s2,1.091453,0.792325,1.67938,s2,0.996249,0.792325,1.678818,s2
81,0,0.0,0.990304,1.074839,1.364939,s1,0.848349,0.742186,1.554517,s2,0.806771,0.742186,1.563328,s2,0.849337,0.79343,1.714111,s2,0.799764,0.79343,1.586515,s2,0.835599,0.79343,1.680765,s2,0.979751,0.79343,1.680202,s2
82,0,1.0,1.045993,1.051533,1.339897,s1,0.719668,0.743206,1.555844,s1,0.717782,0.743206,1.564655,s1,0.764579,0.794521,1.715477,s1,0.800609,0.794521,1.587881,s2,1.010971,0.794521,1.68213,s2,0.627349,0.794521,1.681568,s1
83,0,1.0,1.047754,1.055011,1.341658,s1,1.000446,0.744212,1.557154,s2,0.884663,0.744212,1.565965,s2,1.043197,0.795597,1.716824,s2,0.865824,0.795597,1.589228,s2,0.972157,0.795597,1.683478,s2,0.915207,0.795597,1.682916,s2
84,0,1.0,1.14382,1.058266,1.343216,s2,0.995376,0.745206,1.558446,s2,1.022599,0.745206,1.567257,s2,1.070984,0.796658,1.718154,s2,0.958401,0.796658,1.590558,s2,1.044495,0.796658,1.684808,s2,1.108311,0.796658,1.684245,s2
85,0,0.0,0.969268,1.061317,1.34459,s1,0.713574,0.746186,1.559721,s1,0.76425,0.746186,1.568533,s2,0.719887,0.797706,1.719466,s1,0.821031,0.797706,1.59187,s2,0.904971,0.797706,1.68612,s2,0.888681,0.797706,1.685558,s2
86,5,0.0,0.269256,1.04037,1.321988,s1,0.613907,0.747154,1.56098,s1,0.785692,0.747154,1.569792,s2,0.597703,0.798741,1.720762,s1,0.778698,0.798741,1.593166,s1,0.942676,0.798741,1.687416,s2,0.84746,0.798741,1.686853,s2
87,0,1.0,1.159168,1.040787,1.322719,s2,1.011681,0.748109,1.562223,s2,0.905033,0.748109,1.571035,s2,0.878432,0.799762,1.722041,s2,0.949757,0.799762,1.594445,s2,0.899139,0.748109,1.624015,s2,0.807704,0.799762,1.688132,s2
88,0,0.0,0.970413,1.04402,1.324311,s1,0.943367,0.749052,1.56345,s2,0.952676,0.749052,1.572262,s2,0.795476,0.800771,1.723304,s1,1.01797,0.800771,1.595707,s2,1.035542,0.749052,1.625242,s2,0.961772,0.800771,1.689395,s2
89,0,1.0,0.963835,1.02434,1.303013,s1,0.798568,0.749984,1.564662,s2,0.846881,0.749984,1.573474,s2,0.785724,0.801767,1.724551,s1,0.850829,0.801767,1.596954,s2,0.940857,0.749984,1.626454,s2,0.912333,0.801767,1.690642,s2
90,0,0.0,0.835328,1.02772,1.304798,s1,0.923353,0.750904,1.565859,s2,0.822917,0.750904,1.574671,s2,0.771582,0.802751,1.725782,s1,0.959814,0.802751,1.598186,s2,1.00005,0.750904,1.627651,s2,0.581602,0.802751,1.691874,s1
91,3,0.0,0.47044,1.00918,1.284685,s1,0.78803,0.751814,1.567042,s2,1.041725,0.751814,1.575853,s2,0.882965,0.803722,1.726999,s2,0.786196,0.803722,1.599403,s1,0.981042,0.751814,1.628833,s2,1.158243,0.803722,1.69309,s2
92,0,0.0,1.210332,1.009555,1.285347,s2,0.977857,0.752712,1.56821,s2,0.794242,0.752712,1.577021,s2,0.83504,0.752712,1.661495,s2,0.968387,0.804683,1.600605,s2,1.013143,0.752712,1.630001,s2,0.804989,0.804683,1.694292,s2
93,0,0.0,1.504752,0.991762,1.265999,s2,1.11998,0.753599,1.569364,s2,0.96705,0.753599,1.578176,s2,1.143307,0.753599,1.662649,s2,0.973917,0.805631,1.601793,s2,1.022763,0.753599,1.631156,s2,1.116515,0.805631,1.69548,s2
94,0,1.0,1.020391,0.97468,1.247384,s2,0.983705,0.754476,1.570505,s2,0.893408,0.754476,1.579316,s2,0.861664,0.754476,1.66379,s2,0.955685,0.806569,1.602966,s2,1.134339,0.754476,1.632296,s2,0.889301,0.806569,1.696654,s2
95,4,0.0,0.503118,0.978674,1.249867,s1,0.718102,0.755343,1.571632,s1,0.710955,0.755343,1.580443,s1,0.706552,0.755343,1.664917,s1,0.822929,0.807496,1.604126,s2,0.783592,0.755343,1.633424,s2,0.817488,0.807496,1.697814,s2
96,0,1.0,0.992609,0.97902,1.250482,s2,0.802498,0.7562,1.572746,s2,0.783351,0.7562,1.581558,s2,0.804938,0.7562,1.666032,s2,0.743297,0.7562,1.545524,s1,0.824284,0.7562,1.634538,s2,0.864882,0.808412,1.69896,s2
97,0,1.0,0.973483,0.982819,1.252788,s1,0.993757,0.757048,1.573848,s2,0.976526,0.757048,1.582659,s2,0.914359,0.757048,1.667133,s2,1.014449,0.757048,1.546626,s2,1.010936,0.757048,1.635639,s2,0.891243,0.809318,1.700094,s2
98,6,0.0,0.475988,0.986442,1.254939,s1,0.787792,0.757885,1.574937,s2,0.753617,0.757885,1.583749,s1,0.613282,0.757885,1.668222,s1,0.889126,0.757885,1.547715,s2,0.88896,0.757885,1.636729,s2,0.8955,0.810213,1.701215,s2
99,1,0.0,0.755988,0.98677,1.255524,s1,1.027312,0.758714,1.576014,s2,0.731127,0.758714,1.584826,s1,0.966178,0.758714,1.669299,s2,0.829866,0.758714,1.548792,s2,0.75584,0.758714,1.637806,s1,0.920358,0.758714,1.637274,s2
